company,other,management,culture,pay,growth,environment,balance
PROPERTYGURU.COM,70.0,90.90909090909092,72.7272727272727,42.85714285714286,71.42857142857142,69.56521739130436,85.29411764705883
PRUDENTIAL SINGAPORE,26.66666666666666,78.78787878787881,24.24242424242424,71.42857142857143,17.14285714285714,17.391304347826082,82.35294117647058
SCIENTE INTERNATIONAL PTE LTD,43.33333333333333,93.93939393939392,39.393939393939384,40.00000000000001,100.0,0.0,97.05882352941177
SEA LIMITED,20.0,81.81818181818184,36.363636363636346,71.42857142857143,31.428571428571423,30.43478260869566,52.94117647058824
SEMBCORP INDUSTRIES LTD,13.33333333333333,69.6969696969697,36.363636363636346,71.42857142857143,37.14285714285714,21.73913043478261,70.58823529411765
SEPHORA,20.0,72.72727272727273,12.12121212121213,62.85714285714287,34.28571428571428,39.13043478260872,94.11764705882354
SHOPEE,16.66666666666666,69.6969696969697,51.515151515151516,48.57142857142857,42.85714285714286,52.17391304347825,85.29411764705883
SINGAPORE MANAGEMENT UNIVERSITY,26.66666666666666,75.75757575757576,27.27272727272727,71.42857142857143,17.14285714285714,56.52173913043478,67.64705882352942
SINGAPORE POOLS,3.33333333333333,78.78787878787881,48.48484848484848,51.42857142857144,31.428571428571423,4.3478260869565,79.41176470588235
SINGAPORE UNIVERSITY OF TECHNOLOGY AND DESIGN (SUTD),46.666666666666664,60.60606060606061,6.06060606060606,31.428571428571427,0.0,21.73913043478261,38.235294117647065
SINGTEL,46.666666666666664,87.87878787878786,54.545454545454554,60.0,77.14285714285714,47.82608695652172,76.47058823529413
STANDARD CHARTERED BANK,10.0,81.81818181818184,45.454545454545446,68.57142857142858,25.71428571428572,39.13043478260872,61.764705882352935
TEMASEK POLYTECHNIC,46.666666666666664,57.57575757575757,45.454545454545446,45.714285714285715,25.71428571428572,39.13043478260872,97.05882352941177
THALES GROUP,23.333333333333332,66.66666666666667,24.24242424242424,71.42857142857143,31.428571428571423,52.17391304347825,55.88235294117647
THE CHOPE GROUP,46.666666666666664,33.33333333333334,54.545454545454554,25.71428571428572,31.428571428571423,30.43478260869566,0.0
TIKTOK,33.33333333333333,81.81818181818184,60.60606060606061,51.42857142857144,51.42857142857142,56.52173913043478,58.82352941176472
TUV SUD ASIA PACIFIC PTE. LTD.,40.0,45.45454545454546,27.27272727272727,42.85714285714286,54.285714285714285,39.13043478260872,58.82352941176472
TWITTER INC,63.33333333333334,60.60606060606061,72.7272727272727,71.42857142857143,40.0,82.60869565217394,55.88235294117647
UNITED OVERSEAS BANK,10.0,69.6969696969697,27.27272727272727,68.57142857142858,42.85714285714286,17.391304347826082,70.58823529411765
URBAN REDEVELOPMENT AUTHORITY,20.0,72.72727272727273,78.78787878787877,25.71428571428572,57.14285714285714,100.0,91.1764705882353
ZALORA SEA,36.66666666666667,45.45454545454546,66.66666666666664,37.14285714285714,71.42857142857142,65.21739130434783,58.82352941176472
ZOOM VIDEO COMMUNICATIONS,100.0,69.6969696969697,100.0,62.85714285714287,68.57142857142856,73.91304347826089,64.70588235294117
