company,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt,rating_overall,other,management,culture,pay,growth,balance,environment,diff_balance,diff_culture,diff_pay,diff_career,diff_mgmt
HAYS,0.33508239215927055,0.4284651264088277,0.5476789212415526,0.4342728709129002,0.37495862299554095,0.40529222915998364,0.2758620689655173,0.6388888888888888,0.5185185185185186,0.7142857142857142,0.838709677419355,0.5833333333333334,0.2105263157894736,74.08653721681227,21.017671348067847,64.47854842605969,53.138936864331846,70.38917088632645
HP,0.775325304148107,0.690072819091748,0.5410836638909915,0.5494804809030222,0.45297042846869573,0.599541714301791,0.10344827586206896,0.6666666666666666,0.3333333333333335,0.6071428571428571,0.3548387096774195,0.6388888888888891,0.7368421052631576,-17.597312319005013,-51.69591902314653,10.493980813489857,-34.420731329100626,47.176642175161156
IBM,0.5939116557940242,0.47177769926958374,0.5223743217259651,0.45730009863621174,0.2623206904774938,0.48400579779735453,0.13793103448275862,0.6666666666666666,0.22222222222222224,0.5357142857142857,0.5161290322580646,0.6944444444444444,0.5789473684210529,16.927229440549365,-52.896836250151,17.147205371686017,-1.195558282280332,154.1418541759535
ILLUMINA,0.5159398884531725,0.5433386201954,0.4819937334695207,0.6555935488891668,0.45408843615330624,0.5133422925964393,0.6551724137931035,0.44444444444444453,0.7037037037037038,0.6428571428571429,0.4516129032258065,0.5555555555555556,0.5789473684210529,7.678349355998407,29.514758853444278,-1.9427290054339827,-6.303158762049621,-2.123813544022022
INFINEON TECHNOLOGIES,0.6962348200265179,0.5077424604380524,0.37287084745459237,0.5023849353383616,0.3799881239986704,0.4874894654552141,0.20689655172413798,0.5555555555555556,0.3333333333333335,0.5714285714285714,0.3870967741935484,0.6944444444444444,0.6315789473684214,-0.25715111203506313,-34.34991963332124,13.743174055111382,3.8152424186737792,46.20339965085317
INLAND REVENUE AUTHORITY OF SINGAPORE,0.6785822398019493,0.3919459823802305,0.2265130295230887,0.553277050794991,0.3181011049423418,0.4046782027712965,0.1724137931034483,0.5277777777777778,0.6666666666666667,0.4285714285714285,0.3548387096774195,0.7777777777777779,0.47368421052631593,14.6180569071156,70.09146582345296,-22.53945325300876,56.65267045543198,65.91510358740862
INTEGRATED HEALTH INFORMATION SYSTEMS PTE. LTD.,0.14156031949339795,0.0,0.03314477689578328,0.4370256565051532,0.0023549283873907515,0.05264393645727335,0.31034482758620696,0.6666666666666666,0.40740740740740744,1.0,0.2903225806451613,0.5555555555555556,0.368421052631579,292.4514705418317,inf,128.81951782805882,775.9225671001469,28209.4241946495
KPMG,0.04764345981491537,0.30807790657667267,0.5265679411562298,0.37982158321719867,0.20109070613415508,0.3568149423472952,0.03448275862068964,0.6388888888888888,0.2962962962962964,0.5357142857142857,0.5161290322580646,0.7777777777777779,0.26315789473684204,1532.4964240617242,-3.824230828913444,41.04366612782527,-1.9824429256448155,217.7117934344824
LAZADA,0.006774468425888134,0.0051736196509301466,0.13796771584525294,0.29616374198476364,0.013745221745551747,0.04601673937617478,0.517241379310345,0.6388888888888888,0.7037037037037038,0.39285714285714285,0.5483870967741937,0.5,0.26315789473684204,7280.652895056483,13501.76725742078,32.64862883767645,297.4749407240129,4548.079897988166
MICRON,0.12312603417739275,0.2606268358210825,0.32687257445270096,0.4929718050756531,0.18873015081231675,0.30411434885404354,0.13793103448275862,0.6944444444444444,0.4444444444444445,0.8571428571428571,0.3870967741935484,0.7777777777777779,0.42105263157894746,531.6923816917562,70.52904128013542,73.87259237094038,18.424366082619137,267.9562812065131
NANYANG TECHNOLOGICAL UNIVERSITY,0.6887322544354171,0.38309425782916906,0.35008110925929525,0.4516320496422738,0.312479838756036,0.5073445020150736,0.06896551724137932,0.7500000000000001,0.07407407407407415,0.5714285714285714,0.09677419354838711,0.6388888888888891,0.47368421052631593,-7.236972746018223,-80.66426928614901,26.525248126474935,-72.35663650828151,140.01548483438364
NATIONAL UNIVERSITY OF SINGAPORE,0.7063456234265832,0.46050416643038655,0.40183897857276785,0.4880244511378061,0.4002683615381606,0.5706075682645679,0.13793103448275862,0.7777777777777779,0.07407407407407415,0.6071428571428571,0.19354838709677422,0.7222222222222223,0.47368421052631593,2.24770965786118,-83.91457027451851,24.408286455183138,-51.83434225713743,94.31407838204231
NTT,0.3931927481765587,0.07187600216920044,0.03134891125261623,0.29755562579320605,0.039890247201968085,0.08383049477659674,0.48275862068965525,0.5277777777777778,0.37037037037037057,0.5714285714285714,0.3870967741935484,0.41666666666666674,0.42105263157894746,5.970079203894003,415.2907217884718,92.04092340895629,1134.8013335271514,1223.0747232665396
NTUC INCOME INSURANCE CO-OPERATIVE,0.523208138215254,0.3188380318411932,0.12572017580530365,0.2883388040800641,0.17543333968519764,0.3059282717805015,0.1724137931034483,0.6944444444444444,0.48148148148148157,0.7142857142857142,0.3548387096774195,0.6388888888888891,0.3157894736842105,22.109891307929658,51.01130774803484,147.72444921682333,182.24484049953915,295.84519435734074
OCBC BANK,0.19547762036466382,0.27643754754954597,0.2665872435267863,0.43508019554646743,0.2154554846985594,0.30915906898399786,0.3448275862068965,0.6666666666666666,0.5925925925925928,0.6428571428571429,0.3225806451612904,0.7777777777777779,0.3157894736842105,297.8858430580607,114.36762040669684,47.75601129113782,21.003781311418216,209.42199851602297
PEOPLE PROFILERS,0.7573580018022382,0.35316430425234585,0.2913005299015896,0.5256789081187563,0.3404261650794507,0.4666681712291762,0.517241379310345,0.6944444444444444,0.4444444444444445,0.3214285714285714,0.2903225806451613,0.6666666666666666,0.0,-11.974698216663585,25.846366434269186,-38.85458091159378,-0.33571832387626716,103.99267614531648
